// ExcItemDropRate Funcionamiento:
// - Solo se evalúa si el monstruo tiene Level >= 25
// - Se genera un número aleatorio entre 0 y 999.999 (GetLargeRand() % 1.000.000)
// - Si el número aleatorio es MENOR al valor ExcItemDropRate del mapa, el item será Excellent
//
// Interpretación:
// - Cuanto MAYOR sea ExcItemDropRate, MAYOR es la probabilidad de drop Excellent
// - El valor es absoluto sobre 1.000.000 (no es porcentaje)
//
// Ejemplos:
// ExcItemDropRate = 10        -> 0.001% de chance (10 / 1.000.000)
// ExcItemDropRate = 1.000     -> 0.1% de chance
// ExcItemDropRate = 10.000    -> 1% de chance
// ExcItemDropRate = 100.000   -> 10% de chance
// ExcItemDropRate = 1.000.000 -> 100% de chance
//
// Código relacionado:
// if (lpObj->Level >= 25 && (GetLargeRand() % 1000000) < ExcItemDropRate)
//
//Index	NonPK	View	ExperienceRate	ItemDropRate	ExcDropRate	DeadGate	SpawnInPlace	FlyingDragons	Name
0	*	15	100		100		1000		17		0		1		"Lorencia"
1	*	15	100		100		1000		17		0		1		"Dungeon"
2	*	15	100		100		1000		22		0		1		"Devias"
3	*	15	100		100		1000		27		0		1		"Noria"
4	*	15	100		100		1000		42		0		1		"Lost Tower"
5	*	15	100		100		1000		259		0		1		"Dare Devil"
6	*	15	100		100		1000		115		1		1		"Arena"
7	*	15	100		100		1000		49		0		1		"Atlans"
8	*	15	100		100		1000		57		0		1		"Tarkan"
9	*	15	100		100		1000		27		0		1		"Devil Square 1"
10	*	15	100		100		1000		22		0		1		"Icarus"
11	*	15	100		100		1000		22		0		1		"Blood Castle 1"
12	*	15	100		100		1000		22		0		1		"Blood Castle 2"
13	*	15	100		100		1000		22		0		1		"Blood Castle 3"
14	*	15	100		100		1000		22		0		1		"Blood Castle 4"
15	*	15	100		100		1000		22		0		1		"Blood Castle 5"
16	*	15	100		100		1000		22		0		1		"Blood Castle 6"
end
